Date (MST),OTHER,OTHER_ghg,WIND,WIND_ghg,GAS,GAS_ghg,HYDRO,HYDRO_ghg,SOLAR,SOLAR_ghg,ENERGY STORAGE,ENERGY STORAGE_ghg,COAL,COAL_ghg,DUAL FUEL,DUAL FUEL_ghg,Total Generation,Total_ghg,EI,Renewable Gen,Fossil Fuel Gen,Net Generation,Price,Alberta Internal Load,RE_percent,Temp (°C),Dew Point Temp (°C),Wind Spd (km/h),Hmdx
2024-10-20 23:00:00,258.927177906566,49.098981720598,3473.70307136589,45.1581399277565,6142.35419761403,2985.18414004042,158.027069801225,3.79264967522939,0.100000001490116,0.00430000006407499,24.7123883329166,0.815508814986249,,,,,10057.8239050221,3084.05372017905,306.632304293885,3631.8301411686,6401.28137552059,6425.99376385351,3.12,9464,36.1,17,2.7,39,
2024-10-21 00:00:00,249.664573106766,46.7853035025258,3379.40799619827,43.9323039505775,6245.00949811045,3035.07461608168,126.208166752656,3.02899600206375,0.100000001490116,0.00430000006407499,-12.5999997854233,-0.415799992918968,,,,,9987.79023438421,3128.40971954399,313.223410397032,3505.71616295242,6494.67407121721,6482.07407143179,6.16,9377,35.1,16.9,2.9,43,
2024-10-21 01:00:00,249.416783654425,46.6991170909013,3300.96372298559,42.9125283988126,6263.12816006104,3043.88028578967,128.82732822352,3.09185587736448,0.100000001490116,0.00430000006407499,-9.46616651561525,-0.312383495015303,,,,,9932.96982841045,3136.27570366179,315.744007868761,3429.8910512106,6512.54494371547,6503.07877719985,0.14,9308,34.5,16.1,3.2,26,
2024-10-21 02:00:00,253.698048470285,47.5229468399768,3384.33998771307,43.9964198402699,6172.01514229841,2999.59935915703,138.97803929064,3.33547294297536,0.100000001490116,0.00430000006407499,-8.49999988079071,-0.280499996066093,,,,,9940.6312178931,3094.17799878425,311.265746707788,3523.4180270052,6425.71319076869,6417.2131908879,0,9319,35.4,14.8,3.9,31,
2024-10-21 03:00:00,255.358969803916,48.8320633792686,3128.40145909374,40.6692189682186,6474.6062397225,3146.65863250514,157.81319089666,3.78751658151984,0.100000001490116,0.00430000006407499,-9.09149987469117,-0.300019495864809,,,,,10007.1883596436,3239.65171193834,323.732460658282,3286.31464999189,6729.96520952642,6720.87370965173,0,9390,32.8,13.4,4.7,24,
2024-10-21 04:00:00,256.948851979574,49.1316004260996,3044.70473875807,39.581161603855,6703.34035375085,3257.82341192291,140.215522089203,3.36517253014088,0.100000001490116,0.00430000006407499,-6.24761097384824,-0.206171162136992,,,,,10139.0618556053,3349.69947532094,330.375681993603,3185.02026084877,6960.28920573042,6954.04159475658,0,9573,31.4,13.7,4.7,32,
2024-10-21 05:00:00,251.884549713665,48.7472150325712,3197.98426268996,41.5737954149695,6720.99986533595,3266.40593455327,106.464045374857,2.55513708899657,0.100000001490116,0.00430000006407499,-3.09999990463257,-0.102299996852875,,,,,10274.3327232113,3359.18408209302,326.949123859315,3304.54830806631,6972.88441504962,6969.78441514499,0,9932,32.2,14,4.7,37,
2024-10-21 06:00:00,252.789139841133,48.659033882085,2863.67859290668,37.2278217077868,7043.9064893523,3423.33855382522,239.259210825612,5.74222105981469,0.100000001490116,0.00430000006407499,-0.346499989363882,-0.0114344996490081,,,,,10399.3869329379,3514.96049597532,337.996895263357,3103.03780373378,7296.69562919344,7296.34912920407,2.19,10385,29.8,12.2,5.2,21,
2024-10-21 07:00:00,256.719044043488,49.1379777712409,2593.98711566081,33.7218325035905,7376.23236106677,3584.84892747845,158.254918385943,3.79811804126263,7.1548887102637,0.307660214541339,0,0,,,,,10392.3483278673,3671.81451600909,353.319038216132,2759.39692275701,7632.95140511026,7632.95140511026,9.93,10430,26.6,4.3,1.7,30,
2024-10-21 08:00:00,265.901936555703,49.3938637516456,2448.0583245195,31.8247582187535,7471.22872097398,3631.01715839335,179.10671016718,4.29856104401231,71.025999101955,3.05411796138407,0,0,,,,,10435.3216913183,3719.58845936915,356.442146145209,2698.19103378864,7737.13065752968,7737.13065752968,18.61,10472,25.9,2.6,1.7,26,
2024-10-21 09:00:00,267.561971457799,49.4983047500187,2344.85761449076,30.4831489883799,7587.27093595501,3687.41367487414,152.919177715315,3.67006026516755,133.408886674643,5.73658212700963,0,0,,,,,10486.0185862935,3776.80177100471,360.175002544955,2631.18567888072,7854.83290741281,7854.83290741281,21.94,10554,25.1,1.6,0.5,27,
2024-10-21 10:00:00,271.700519447857,49.8705010734346,2393.85650312742,31.1201345406564,7536.93279045499,3662.94933616113,95.3901817023754,2.28936436085701,156.935222871585,6.74821458347816,0,0,,,,,10454.8152176042,3752.97755071955,358.971198687485,2646.18190770138,7808.63330990285,7808.63330990285,17.58,10597,25.3,0.4,0,18,
2024-10-21 11:00:00,274.572181118329,50.0772181142044,2377.90868190189,30.9128128647246,7455.13700765769,3623.19658572164,156.021921383275,3.7445261131986,163.602332759053,7.03490030863926,0,0,,,,,10427.2421248202,3714.9660431224,356.275034055225,2697.53293604422,7729.70918877602,7729.70918877602,16.65,10656,25.9,0.2,0.1,17,
2024-10-21 12:00:00,269.994116862085,49.8268704888174,2293.83561264249,29.8198629643524,7468.50064820727,3629.69131502873,107.054662375516,2.56931189701239,156.83400220313,6.74386209473459,0,0,,,,,10296.2190422905,3718.65122247365,361.166677515283,2557.72427722114,7738.49476506935,7738.49476506935,16.67,10616,24.8,0,-0.1,15,
2024-10-21 13:00:00,271.750891544554,49.8599536214956,2248.00387291559,29.2240503479027,7576.90669905805,3682.37665574221,179.066496702234,4.29759592085362,104.989143029104,4.51453315025146,0,0,,,,,10380.7171032495,3770.27278878271,363.199647122884,2532.05951264693,7848.6575906026,7848.6575906026,17.17,10564,24.4,-0.2,-0.3,16,
